sample_id	tumor_type	cluster
228	Prost-AdenoCA	K
231	Liver-HCC	B
232	Liver-HCC	B
233	Liver-HCC	B
234	Liver-HCC	B
235	Liver-HCC	B
236	Liver-HCC	J
237	Liver-HCC	B
238	Liver-HCC	B
239	Liver-HCC	B
240	Liver-HCC	B
241	Liver-HCC	C
242	Liver-HCC	B
243	Liver-HCC	B
244	Liver-HCC	B
245	Liver-HCC	B
246	Liver-HCC	B
247	Liver-HCC	B
248	Liver-HCC	B
249	Liver-HCC	B
250	Liver-HCC	B
251	Liver-HCC	B
252	Liver-HCC	B
253	Liver-HCC	B
254	Liver-HCC	B
255	Liver-HCC	B
256	Liver-HCC	B
257	Liver-HCC	B
258	Liver-HCC	B
259	Liver-HCC	B
260	Liver-HCC	B
261	Liver-HCC	B
262	Liver-HCC	B
263	Liver-HCC	B
264	Liver-HCC	B
265	Liver-HCC	B
266	Liver-HCC	B
267	Liver-HCC	F
268	Liver-HCC	B
269	Liver-HCC	D
270	Liver-HCC	B
271	Liver-HCC	B
272	Liver-HCC	B
273	Liver-HCC	A
274	Liver-HCC	B
275	Liver-HCC	B
276	Liver-HCC	B
277	Liver-HCC	B
278	Liver-HCC	B
279	Liver-HCC	B
280	CNS-Medullo	K
281	CNS-Medullo	N
282	CNS-Medullo	K
283	CNS-Medullo	N
284	CNS-Medullo	N
285	CNS-Medullo	N
286	CNS-Medullo	K
287	CNS-Medullo	N
288	CNS-Medullo	N
289	CNS-Medullo	N
290	CNS-Medullo	N
291	CNS-Medullo	K
292	CNS-Medullo	K
293	CNS-Medullo	N
294	CNS-Medullo	N
295	CNS-Medullo	K
296	CNS-Medullo	N
297	CNS-Medullo	K
298	CNS-Medullo	N
299	CNS-Medullo	N
300	CNS-Medullo	K
301	CNS-Medullo	N
302	CNS-Medullo	K
303	CNS-Medullo	K
304	CNS-Medullo	N
305	CNS-Medullo	F
306	CNS-Medullo	N
307	CNS-Medullo	K
308	CNS-Medullo	B
309	CNS-Medullo	K
310	CNS-Medullo	K
311	CNS-Medullo	K
312	CNS-Medullo	K
313	CNS-Medullo	N
314	CNS-Medullo	K
315	CNS-Medullo	K
316	CNS-Medullo	K
317	CNS-Medullo	N
318	CNS-Medullo	K
319	CNS-Medullo	N
320	CNS-Medullo	K
321	CNS-Medullo	K
322	CNS-Medullo	N
323	CNS-Medullo	N
324	CNS-Medullo	N
325	CNS-Medullo	K
326	CNS-Medullo	D
327	CNS-Medullo	K
328	CNS-Medullo	K
329	CNS-Medullo	N
330	CNS-Medullo	K
331	CNS-Medullo	K
332	CNS-Medullo	K
333	CNS-Medullo	K
334	CNS-Medullo	K
335	CNS-Medullo	N
336	CNS-Medullo	K
337	CNS-Medullo	K
338	CNS-Medullo	N
339	CNS-Medullo	K
340	CNS-Medullo	K
341	CNS-Medullo	N
342	CNS-Medullo	K
343	CNS-Medullo	K
344	CNS-Medullo	K
345	CNS-Medullo	K
346	CNS-Medullo	F
347	CNS-Medullo	K
348	CNS-Medullo	K
349	Cervix-SCC	N
350	Cervix-SCC	N
351	Cervix-SCC	E
352	Cervix-SCC	E
353	Cervix-SCC	E
354	Cervix-SCC	E
355	Cervix-AdenoCA	N
356	Panc-AdenoCA	N
357	Panc-AdenoCA	K
358	Panc-AdenoCA	K
359	Panc-AdenoCA	N
360	Panc-AdenoCA	N
361	Panc-AdenoCA	L
362	Panc-AdenoCA	N
363	Panc-AdenoCA	N
364	Panc-AdenoCA	N
365	Panc-AdenoCA	N
366	Panc-AdenoCA	N
367	Panc-AdenoCA	N
368	Panc-AdenoCA	N
369	Panc-AdenoCA	M
370	Panc-AdenoCA	N
371	Panc-AdenoCA	N
372	Panc-AdenoCA	K
373	Panc-AdenoCA	N
374	Panc-AdenoCA	N
375	Panc-AdenoCA	N
376	Panc-AdenoCA	N
377	Panc-AdenoCA	K
378	Bladder-TCC	E
379	Myeloid-AML	K
380	Myeloid-AML	K
381	Myeloid-AML	D
382	Myeloid-AML	D
383	Myeloid-AML	K
384	Myeloid-AML	F
385	Myeloid-AML	D
386	Liver-HCC	B
387	Liver-HCC	B
388	Breast-AdenoCA	E
389	Kidney-RCC	K
390	Kidney-RCC	C
391	Kidney-RCC	C
392	Kidney-RCC	C
393	Prost-AdenoCA	B
394	Cervix-SCC	N
395	Cervix-SCC	N
396	Cervix-AdenoCA	N
397	Cervix-SCC	E
398	Breast-AdenoCA	E
399	Panc-AdenoCA	N
400	Panc-AdenoCA	N
401	Panc-AdenoCA	K
402	Panc-AdenoCA	D
403	Panc-AdenoCA	N
404	Panc-AdenoCA	K
405	Panc-AdenoCA	N
406	Panc-AdenoCA	K
407	Panc-AdenoCA	N
408	Eso-AdenoCA	L
409	Eso-AdenoCA	L
410	Eso-AdenoCA	M
411	Eso-AdenoCA	M
412	Eso-AdenoCA	L
413	Eso-AdenoCA	M
414	Eso-AdenoCA	L
415	Eso-AdenoCA	L
416	Eso-AdenoCA	N
417	Eso-AdenoCA	L
418	Eso-AdenoCA	L
419	Eso-AdenoCA	L
420	Eso-AdenoCA	L
421	Eso-AdenoCA	L
422	Eso-AdenoCA	L
423	Eso-AdenoCA	L
424	Eso-AdenoCA	L
425	Eso-AdenoCA	L
426	Eso-AdenoCA	N
427	Eso-AdenoCA	L
428	Eso-AdenoCA	M
429	Eso-AdenoCA	L
430	Eso-AdenoCA	L
431	Eso-AdenoCA	M
432	Eso-AdenoCA	L
433	Eso-AdenoCA	L
434	Eso-AdenoCA	L
435	Eso-AdenoCA	L
436	Eso-AdenoCA	O
437	Eso-AdenoCA	L
438	Eso-AdenoCA	L
439	Eso-AdenoCA	K
440	Eso-AdenoCA	K
441	Eso-AdenoCA	L
442	Eso-AdenoCA	L
443	Eso-AdenoCA	L
444	Eso-AdenoCA	L
445	Eso-AdenoCA	N
446	Eso-AdenoCA	M
447	Eso-AdenoCA	D
448	Eso-AdenoCA	L
449	Eso-AdenoCA	D
450	Eso-AdenoCA	L
451	Eso-AdenoCA	N
452	Eso-AdenoCA	M
453	Eso-AdenoCA	M
454	Eso-AdenoCA	M
455	Eso-AdenoCA	L
456	Eso-AdenoCA	L
457	Eso-AdenoCA	L
458	Eso-AdenoCA	N
459	Eso-AdenoCA	L
460	Eso-AdenoCA	M
461	Eso-AdenoCA	L
462	Eso-AdenoCA	N
463	Eso-AdenoCA	L
464	Eso-AdenoCA	N
465	Eso-AdenoCA	L
466	Eso-AdenoCA	N
467	Eso-AdenoCA	N
468	Eso-AdenoCA	L
469	Eso-AdenoCA	L
470	Eso-AdenoCA	N
471	Eso-AdenoCA	L
472	Eso-AdenoCA	M
473	Eso-AdenoCA	L
474	Eso-AdenoCA	L
475	Eso-AdenoCA	L
476	Eso-AdenoCA	L
477	Eso-AdenoCA	L
478	Eso-AdenoCA	M
479	Eso-AdenoCA	L
480	Eso-AdenoCA	M
481	Eso-AdenoCA	L
482	Eso-AdenoCA	L
483	Eso-AdenoCA	L
484	Eso-AdenoCA	L
485	Eso-AdenoCA	L
486	Eso-AdenoCA	M
487	Eso-AdenoCA	L
488	Eso-AdenoCA	L
489	Eso-AdenoCA	L
490	Eso-AdenoCA	L
491	Eso-AdenoCA	L
492	Eso-AdenoCA	L
493	Prost-AdenoCA	D
494	Prost-AdenoCA	K
495	Prost-AdenoCA	D
496	Prost-AdenoCA	F
497	Prost-AdenoCA	K
498	Prost-AdenoCA	C
499	Prost-AdenoCA	K
500	Prost-AdenoCA	K
501	Prost-AdenoCA	K
502	Prost-AdenoCA	K
503	Prost-AdenoCA	F
504	Prost-AdenoCA	K
505	Prost-AdenoCA	F
506	Prost-AdenoCA	B
507	Prost-AdenoCA	D
508	Eso-AdenoCA	L
509	Eso-AdenoCA	L
510	Eso-AdenoCA	K
511	Eso-AdenoCA	L
512	Eso-AdenoCA	L
513	Eso-AdenoCA	L
514	Bladder-TCC	B
515	Breast-AdenoCA	D
517	Liver-HCC	B
518	Liver-HCC	B
519	Liver-HCC	B
520	Liver-HCC	K
521	Liver-HCC	B
522	Liver-HCC	B
523	Liver-HCC	K
524	Liver-HCC	B
525	Liver-HCC	B
526	Liver-HCC	B
528	Liver-HCC	B
529	Liver-HCC	B
530	Liver-HCC	B
531	Liver-HCC	B
532	Liver-HCC	B
533	Liver-HCC	B
534	Liver-HCC	B
535	Liver-HCC	B
536	Liver-HCC	B
537	Liver-HCC	B
538	Liver-HCC	B
539	Liver-HCC	B
540	Liver-HCC	B
541	Liver-HCC	B
542	Liver-HCC	B
544	Liver-HCC	B
545	Liver-HCC	B
546	Liver-HCC	B
547	Liver-HCC	B
548	Liver-HCC	B
549	Liver-HCC	B
550	Liver-HCC	B
551	Liver-HCC	B
552	Liver-HCC	B
553	Liver-HCC	B
554	Liver-HCC	B
555	Liver-HCC	B
556	Liver-HCC	B
557	Liver-HCC	B
558	Liver-HCC	B
559	Liver-HCC	B
560	Liver-HCC	B
562	Liver-HCC	B
563	Liver-HCC	B
565	Liver-HCC	B
566	Liver-HCC	B
567	Liver-HCC	B
568	Liver-HCC	B
569	Liver-HCC	K
570	Liver-HCC	B
571	Liver-HCC	B
572	Breast-AdenoCA	K
573	Prost-AdenoCA	F
574	Prost-AdenoCA	M
575	Prost-AdenoCA	K
576	Prost-AdenoCA	K
577	Prost-AdenoCA	K
578	Prost-AdenoCA	D
579	Prost-AdenoCA	K
580	Prost-AdenoCA	B
581	Prost-AdenoCA	K
582	Prost-AdenoCA	F
583	Prost-AdenoCA	K
584	Prost-AdenoCA	K
585	Prost-AdenoCA	F
586	Prost-AdenoCA	K
587	Prost-AdenoCA	K
588	Prost-AdenoCA	K
589	Prost-AdenoCA	K
590	Prost-AdenoCA	D
591	Prost-AdenoCA	K
592	Prost-AdenoCA	F
593	Prost-AdenoCA	K
594	Prost-AdenoCA	K
595	Prost-AdenoCA	K
596	Prost-AdenoCA	F
597	Prost-AdenoCA	K
598	Prost-AdenoCA	K
599	Prost-AdenoCA	O
600	Prost-AdenoCA	D
601	Prost-AdenoCA	F
602	Prost-AdenoCA	B
603	Prost-AdenoCA	K
604	Prost-AdenoCA	F
605	Prost-AdenoCA	K
606	Prost-AdenoCA	K
607	Prost-AdenoCA	D
608	Prost-AdenoCA	K
609	Prost-AdenoCA	K
610	Prost-AdenoCA	O
611	Prost-AdenoCA	K
612	Prost-AdenoCA	K
613	Prost-AdenoCA	D
614	Prost-AdenoCA	K
615	Prost-AdenoCA	K
616	Prost-AdenoCA	O
617	Prost-AdenoCA	O
618	Prost-AdenoCA	O
619	Prost-AdenoCA	D
620	Prost-AdenoCA	K
621	Prost-AdenoCA	K
622	Prost-AdenoCA	K
623	Prost-AdenoCA	D
624	Prost-AdenoCA	K
625	Prost-AdenoCA	O
626	Prost-AdenoCA	K
627	Prost-AdenoCA	K
628	Prost-AdenoCA	O
629	Prost-AdenoCA	K
630	Prost-AdenoCA	O
631	Prost-AdenoCA	K
632	Prost-AdenoCA	N
633	Prost-AdenoCA	O
634	Prost-AdenoCA	O
635	Prost-AdenoCA	O
636	Prost-AdenoCA	D
637	Prost-AdenoCA	O
638	Prost-AdenoCA	F
639	Breast-AdenoCA	D
640	Prost-AdenoCA	O
641	Prost-AdenoCA	K
642	Prost-AdenoCA	F
643	Prost-AdenoCA	K
644	Prost-AdenoCA	K
645	Prost-AdenoCA	F
646	Prost-AdenoCA	K
647	Prost-AdenoCA	K
648	Prost-AdenoCA	D
649	Prost-AdenoCA	B
650	Prost-AdenoCA	K
651	Prost-AdenoCA	F
652	Prost-AdenoCA	P
653	Prost-AdenoCA	K
654	Prost-AdenoCA	O
655	Prost-AdenoCA	O
656	Prost-AdenoCA	K
657	Prost-AdenoCA	N
658	Prost-AdenoCA	K
659	Prost-AdenoCA	K
660	Prost-AdenoCA	D
661	Prost-AdenoCA	D
662	Prost-AdenoCA	K
663	Prost-AdenoCA	K
664	Prost-AdenoCA	K
665	Prost-AdenoCA	D
666	Prost-AdenoCA	F
667	Prost-AdenoCA	O
668	Prost-AdenoCA	N
669	Prost-AdenoCA	K
670	Prost-AdenoCA	K
671	Prost-AdenoCA	K
672	Prost-AdenoCA	K
673	Prost-AdenoCA	D
674	Prost-AdenoCA	K
675	Prost-AdenoCA	K
676	Prost-AdenoCA	D
677	Skin-Melanoma	E
678	Bladder-TCC	B
679	Kidney-RCC	C
680	Cervix-SCC	E
681	Cervix-SCC	E
682	Cervix-SCC	N
683	Bladder-TCC	E
687	Prost-AdenoCA	K
689	Prost-AdenoCA	K
699	Prost-AdenoCA	K
701	Prost-AdenoCA	K
706	Prost-AdenoCA	K
711	Prost-AdenoCA	K
713	Prost-AdenoCA	N
718	Prost-AdenoCA	K
728	Prost-AdenoCA	N
729	Prost-AdenoCA	D
734	Lymph-CLL	D
735	Lymph-CLL	M
736	Lymph-CLL	M
737	Lymph-CLL	D
738	Lymph-CLL	D
739	Lymph-CLL	D
740	Lymph-CLL	M
741	Lymph-CLL	M
742	Lymph-CLL	D
743	Lymph-CLL	M
744	Lymph-CLL	D
745	Lymph-CLL	D
746	Lymph-CLL	M
747	Lymph-CLL	M
748	Lymph-CLL	M
749	Lymph-CLL	F
750	Lymph-CLL	D
751	Lymph-CLL	M
752	Lymph-CLL	M
753	Head-SCC	E
754	Liver-HCC	B
755	Liver-HCC	K
756	Liver-HCC	B
757	Prost-AdenoCA	K
758	Prost-AdenoCA	K
759	Prost-AdenoCA	K
760	Prost-AdenoCA	K
761	Prost-AdenoCA	D
762	Prost-AdenoCA	D
763	Prost-AdenoCA	N
764	Prost-AdenoCA	K
765	Prost-AdenoCA	K
766	Prost-AdenoCA	K
773	Prost-AdenoCA	B
778	Prost-AdenoCA	K
781	Prost-AdenoCA	F
787	Prost-AdenoCA	K
795	Prost-AdenoCA	K
799	Prost-AdenoCA	G
800	Prost-AdenoCA	K
801	Prost-AdenoCA	D
802	Prost-AdenoCA	K
803	Prost-AdenoCA	D
804	Prost-AdenoCA	K
805	Prost-AdenoCA	F
806	Prost-AdenoCA	D
807	Prost-AdenoCA	D
808	Prost-AdenoCA	D
809	Prost-AdenoCA	K
810	Breast-AdenoCA	K
811	Breast-AdenoCA	D
812	Breast-AdenoCA	M
813	Breast-AdenoCA	K
814	Breast-AdenoCA	D
815	Breast-AdenoCA	K
816	Breast-AdenoCA	K
817	Breast-AdenoCA	K
818	Breast-AdenoCA	D
819	Breast-AdenoCA	K
820	Breast-AdenoCA	K
821	Breast-AdenoCA	D
822	Breast-AdenoCA	C
823	Breast-AdenoCA	D
824	Breast-AdenoCA	E
825	Breast-AdenoCA	F
826	Breast-AdenoCA	D
827	Breast-AdenoCA	D
828	Breast-AdenoCA	D
829	Breast-AdenoCA	D
830	Breast-AdenoCA	D
831	Breast-AdenoCA	K
832	Breast-AdenoCA	K
833	Breast-AdenoCA	K
834	Bone-Epith	D
835	Bone-Epith	K
836	Bone-Epith	K
837	Bone-Benign	L
838	Bone-Epith	D
839	Bone-Osteosarc	F
840	Bone-Epith	D
841	Bone-Osteosarc	K
842	Bone-Epith	D
843	Bone-Epith	D
844	Bone-Osteosarc	D
845	Bone-Osteosarc	N
846	Bone-Osteosarc	D
847	Bone-Epith	B
848	Bone-Benign	C
849	Bone-Benign	O
850	Bone-Benign	O
851	Bone-Epith	F
852	Bone-Osteosarc	D
853	Bone-Osteosarc	O
854	Bone-Osteosarc	D
855	Bone-Osteosarc	K
856	Bone-Osteosarc	D
857	Bone-Osteosarc	D
858	Bone-Osteosarc	L
859	Bone-Osteosarc	K
860	Bone-Osteosarc	D
861	Bone-Osteosarc	D
862	Bone-Osteosarc	D
863	Bone-Osteosarc	D
864	Bone-Osteosarc	D
865	Bone-Epith	D
866	Bone-Osteosarc	D
867	Bone-Osteosarc	D
868	Bone-Osteosarc	F
869	Bone-Osteosarc	K
870	Bone-Osteosarc	D
871	Bone-Osteosarc	F
872	Bone-Osteosarc	D
873	Bone-Osteosarc	F
874	Bone-Osteosarc	K
875	Bone-Osteosarc	D
876	Bone-Benign	D
877	Bone-Benign	D
878	Bone-Benign	D
879	Bone-Benign	D
880	Bone-Benign	D
881	Bone-Benign	D
882	Bone-Benign	K
883	Bone-Benign	D
884	Bone-Benign	D
885	Bone-Benign	F
886	Bone-Benign	D
887	Bone-Benign	M
888	Bone-Osteosarc	C
889	Bone-Osteosarc	D
890	Bone-Osteosarc	D
891	Bone-Osteosarc	B
892	Bone-Osteosarc	F
893	Bone-Osteosarc	D
894	Bone-Osteosarc	M
895	Lymph-BNHL	M
896	Lymph-BNHL	K
897	Lymph-BNHL	M
898	Lymph-BNHL	M
899	Lymph-BNHL	M
900	Lymph-BNHL	M
901	Lymph-BNHL	M
902	Lymph-BNHL	M
903	Lymph-BNHL	M
904	Lymph-BNHL	M
905	Lymph-BNHL	M
906	Lymph-BNHL	N
907	Lymph-BNHL	N
908	Lymph-BNHL	M
909	Lymph-BNHL	M
910	Lymph-BNHL	M
911	Lymph-BNHL	M
912	Lymph-BNHL	M
913	Lymph-BNHL	M
914	Lymph-BNHL	M
915	Lymph-BNHL	M
916	Lymph-BNHL	M
917	Lymph-BNHL	M
918	Lymph-BNHL	M
919	Lymph-BNHL	F
920	Lymph-BNHL	L
921	Lymph-BNHL	N
922	Lymph-BNHL	M
923	Lymph-BNHL	M
924	Lymph-BNHL	M
925	Lymph-BNHL	M
926	Lymph-BNHL	M
927	Lymph-BNHL	M
928	Lymph-BNHL	M
929	Lymph-BNHL	M
930	Lymph-BNHL	M
931	Lymph-BNHL	M
932	Lymph-BNHL	M
933	Lymph-BNHL	M
934	Lymph-BNHL	M
935	Lymph-BNHL	M
936	Lymph-BNHL	M
937	Lymph-BNHL	M
938	Lymph-BNHL	M
939	Lymph-BNHL	M
940	Lymph-BNHL	M
941	Lymph-BNHL	M
942	Lymph-BNHL	M
943	Lymph-CLL	D
944	Lymph-CLL	M
945	Lymph-CLL	F
946	Lymph-CLL	M
947	Lymph-CLL	B
948	Lymph-CLL	D
949	Lymph-CLL	M
950	Lymph-CLL	D
951	Lymph-CLL	M
952	Lymph-CLL	D
953	Lymph-CLL	M
954	Lymph-CLL	D
955	Lymph-CLL	M
956	Lymph-CLL	M
957	Lymph-CLL	M
958	Lymph-CLL	M
959	Lymph-CLL	D
960	Lymph-CLL	M
961	Lymph-CLL	M
962	Lymph-CLL	M
963	Lymph-CLL	D
964	Lymph-CLL	M
965	Lymph-CLL	D
966	Lymph-CLL	F
967	Lymph-CLL	M
968	Myeloid-MPN	O
971	Myeloid-MPN	D
973	Myeloid-MDS	K
975	Myeloid-MPN	D
977	Myeloid-AML	C
978	Myeloid-MPN	K
980	Myeloid-MPN	D
983	Myeloid-MPN	F
986	Myeloid-MPN	D
988	Myeloid-MPN	D
991	Myeloid-AML	F
993	Myeloid-AML	D
995	Myeloid-MPN	D
998	Myeloid-MPN	D
1000	Myeloid-MPN	D
1002	Myeloid-MPN	D
1003	Myeloid-MDS	F
1005	Myeloid-MPN	D
1008	Myeloid-MPN	D
1010	Myeloid-AML	D
1011	Myeloid-MPN	D
1013	Myeloid-MPN	D
1016	Myeloid-MPN	C
1018	Myeloid-MPN	D
1019	Myeloid-MPN	D
1021	Myeloid-MPN	K
1023	Myeloid-MPN	D
1025	Myeloid-AML	L
1027	Myeloid-MPN	D
1029	Myeloid-MPN	D
1030	Breast-AdenoCA	D
1031	Breast-AdenoCA	D
1032	Breast-AdenoCA	K
1033	Panc-AdenoCA	K
1034	Panc-AdenoCA	N
1035	Panc-AdenoCA	N
1036	Breast-AdenoCA	F
1037	Panc-AdenoCA	K
1038	Panc-AdenoCA	N
1039	Panc-AdenoCA	N
1040	Breast-AdenoCA	K
1041	Panc-AdenoCA	N
1042	Panc-AdenoCA	N
1043	Head-SCC	E
1044	Breast-AdenoCA	E
1045	Biliary-AdenoCA	K
1046	Biliary-AdenoCA	N
1047	Breast-AdenoCA	K
1048	Panc-AdenoCA	N
1049	Panc-AdenoCA	N
1050	Panc-Endocrine	D
1051	Breast-AdenoCA	D
1052	Panc-AdenoCA	F
1053	Breast-AdenoCA	K
1054	Breast-AdenoCA	E
1055	Panc-Endocrine	D
1056	Panc-Endocrine	B
1057	Breast-AdenoCA	K
1058	Breast-AdenoCA	K
1059	Breast-AdenoCA	K
1060	Head-SCC	N
1061	Breast-AdenoCA	K
1062	Breast-AdenoCA	N
1063	Breast-AdenoCA	N
1064	Panc-AdenoCA	K
1065	Breast-AdenoCA	D
1066	Panc-AdenoCA	N
1067	Panc-AdenoCA	N
1068	Head-SCC	K
1069	Panc-AdenoCA	N
1070	Panc-AdenoCA	N
1071	Panc-AdenoCA	K
1072	Panc-AdenoCA	N
1073	Head-SCC	F
1074	Panc-Endocrine	D
1075	Panc-Endocrine	D
1076	Breast-AdenoCA	E
1077	Breast-AdenoCA	D
1078	Breast-LobularCA	K
1079	Breast-AdenoCA	E
1080	Breast-AdenoCA	D
1081	Head-SCC	D
1082	Panc-AdenoCA	K
1083	Panc-AdenoCA	N
1084	Panc-AdenoCA	N
1085	Panc-Endocrine	K
1086	Panc-AdenoCA	N
1087	Breast-AdenoCA	E
1088	Panc-AdenoCA	M
1089	Panc-Endocrine	K
1090	Biliary-AdenoCA	D
1091	Panc-AdenoCA	M
1092	Breast-AdenoCA	D
1093	Panc-AdenoCA	K
1094	Breast-AdenoCA	K
1095	Breast-LobularCA	K
1096	Breast-AdenoCA	D
1097	Breast-AdenoCA	E
1098	Breast-AdenoCA	K
