sample_id	tumor_type	num_ssms	num_sims
1648	CNS-GBM	8834	1075
1649	CNS-GBM	11008	603
1650	CNS-GBM	6833	428
1651	CNS-GBM	5535	238
1652	CNS-GBM	7998	488
1653	CNS-GBM	11233	578
1654	CNS-GBM	1759	155
1655	CNS-GBM	6976	444
1656	CNS-GBM	8217	504
1657	CNS-GBM	245373	1961
1658	CNS-GBM	10652	560
1659	CNS-GBM	6987	413
1660	CNS-GBM	6089	209
1661	CNS-GBM	4944	161
1662	CNS-GBM	6080	409
1663	CNS-GBM	3538	251
1664	CNS-GBM	4973	435
1665	CNS-GBM	4445	233
1666	Breast-AdenoCA	12453	1120
1667	CNS-GBM	6770	497
1668	Breast-AdenoCA	2819	187
1669	CNS-GBM	5227	311
1670	CNS-GBM	8737	381
1671	Breast-AdenoCA	7909	790
1672	Breast-LobularCA	3311	175
1673	CNS-GBM	8464	519
1674	Breast-AdenoCA	15061	1932
1675	CNS-GBM	5735	315
1676	CNS-GBM	8516	378
1677	Breast-AdenoCA	2465	196
1678	Breast-AdenoCA	4315	472
1679	CNS-GBM	11325	538
1680	Breast-AdenoCA	3230	326
1681	CNS-GBM	6166	287
1682	CNS-GBM	8148	314
1683	CNS-GBM	7263	422
1684	CNS-GBM	10115	1197
1685	CNS-GBM	3262	167
1686	Breast-AdenoCA	9419	783
1687	CNS-GBM	7824	456
1688	CNS-GBM	5035	817
1689	CNS-GBM	4193	314
1690	Head-SCC	8830	383
1691	Breast-AdenoCA	3692	246
1692	Head-SCC	17058	1128
1693	Head-SCC	5883	706
1694	Head-SCC	18198	811
1695	Head-SCC	25020	1097
1696	Head-SCC	5889	337
1697	Head-SCC	5234	444
1698	Head-SCC	89715	3592
1699	Head-SCC	5921	327
1700	Breast-AdenoCA	8676	715
1701	Head-SCC	5069	103
1702	Head-SCC	7264	324
1703	Head-SCC	53798	2387
1704	Head-SCC	14210	186
1705	Head-SCC	65017	2522
1706	Head-SCC	49775	645
1707	Head-SCC	3039	171
1708	Head-SCC	13391	735
1709	Head-SCC	27303	993
1710	Head-SCC	3039	186
1711	Head-SCC	9957	1557
1712	Head-SCC	8868	494
1713	Head-SCC	13181	711
1714	Head-SCC	12688	528
1715	Head-SCC	17198	805
1716	Head-SCC	3146	321
1717	Head-SCC	7242	483
1718	Head-SCC	7635	387
1719	Head-SCC	32613	1473
1720	Head-SCC	4673	431
1721	Head-SCC	527	5
1722	Head-SCC	16897	744
1723	Head-SCC	22206	828
1724	Head-SCC	21951	543
1725	Head-SCC	2892	233
1726	Head-SCC	13266	561
1727	Head-SCC	13295	648
1728	Head-SCC	50015	1216
1729	Head-SCC	31319	1205
1730	Breast-LobularCA	3045	270
1731	Head-SCC	43311	1353
1732	Head-SCC	5193	298
1733	Head-SCC	3968	238
1734	Head-SCC	3410	260
1735	Breast-AdenoCA	9024	458
1736	Kidney-RCC	7053	1027
1737	Kidney-RCC	4909	478
1738	Kidney-RCC	5709	764
1739	Kidney-RCC	3089	468
1740	Kidney-RCC	8489	1304
1741	Kidney-RCC	4022	350
1742	Kidney-RCC	6925	709
1743	Kidney-RCC	7326	672
1744	Kidney-RCC	3424	280
1745	Kidney-RCC	7182	824
1746	Kidney-RCC	4090	402
1747	Kidney-RCC	3884	424
1748	Kidney-RCC	3817	318
1749	Breast-AdenoCA	31750	320
1750	Kidney-RCC	5323	689
1751	Kidney-RCC	3177	347
1752	Kidney-RCC	3305	476
1753	Kidney-RCC	5774	477
1754	Kidney-RCC	4343	556
1755	Kidney-RCC	4186	313
1756	Kidney-RCC	8035	1186
1757	Kidney-RCC	6694	1015
1758	Kidney-RCC	6752	893
1759	Kidney-RCC	5711	787
1760	Kidney-RCC	7803	750
1761	Kidney-RCC	4656	452
1762	Kidney-RCC	4390	424
1763	Kidney-RCC	8988	1649
1764	Kidney-RCC	3951	577
1765	Kidney-RCC	4393	722
1766	Kidney-RCC	5451	490
1767	Kidney-RCC	4005	739
1768	Kidney-RCC	7030	1015
1769	Kidney-RCC	5033	841
1770	Kidney-RCC	3795	576
1771	Kidney-RCC	6972	681
1772	Breast-AdenoCA	4484	274
1773	Kidney-RCC	6286	792
1774	Kidney-RCC	4920	556
1775	Kidney-RCC	4031	845
1776	Kidney-RCC	3242	637
1777	Kidney-RCC	4944	1107
1778	Kidney-RCC	7473	1363
1779	Kidney-RCC	7634	1724
1780	Kidney-RCC	3712	897
1781	Kidney-RCC	6550	1358
1782	Kidney-RCC	4434	612
1783	Kidney-RCC	5576	1284
1784	Kidney-RCC	3280	679
1785	Kidney-RCC	5005	456
1786	Breast-AdenoCA	6952	825
1787	Breast-AdenoCA	3948	315
1788	Breast-AdenoCA	2049	180
1789	Breast-AdenoCA	4621	309
1790	Breast-AdenoCA	2196	163
1791	CNS-Oligo	1150	61
1792	CNS-Oligo	1891	118
1793	CNS-Oligo	2538	241
1794	CNS-Oligo	2658	212
1795	CNS-Oligo	3253	144
1796	CNS-Oligo	2933	586
1797	CNS-Oligo	2163	138
1798	CNS-Oligo	2212	155
1799	CNS-Oligo	5446	361
1800	CNS-Oligo	2810	475
1801	Breast-AdenoCA	7697	1359
1802	CNS-Oligo	1543	83
1803	CNS-Oligo	2346	149
1804	CNS-Oligo	431	23
1805	CNS-Oligo	4155	311
1806	CNS-Oligo	2159	393
1807	CNS-Oligo	2824	247
1808	Breast-AdenoCA	8366	1142
1809	CNS-Oligo	6213	375
1810	CNS-Oligo	1661	75
1811	Liver-HCC	24668	1104
1812	Liver-HCC	8571	625
1813	Liver-HCC	16906	1282
1814	Liver-HCC	13641	714
1815	Liver-HCC	6629	647
1816	Liver-HCC	11249	419
1817	Liver-HCC	5000	372
1818	Liver-HCC	3742	283
1819	Liver-HCC	5931	916
1820	Liver-HCC	15450	907
1821	Liver-HCC	10530	610
1822	Liver-HCC	7964	652
1823	Liver-HCC	11101	574
